timestamp,market_slug,outcome,best_bid,best_ask,mid,spread
1767715272.325582,btc-updown-15m-1767715200,DOWN,0.37,0.36,0.365,-0.010000000000000009
1767715272.3259652,btc-updown-15m-1767715200,UP,0.64,0.63,0.635,-0.010000000000000009
1767715273.659937,btc-updown-15m-1767715200,DOWN,0.34,0.33,0.335,-0.010000000000000009
1767715273.734165,btc-updown-15m-1767715200,UP,0.67,0.66,0.665,-0.010000000000000009
1767715275.093405,btc-updown-15m-1767715200,DOWN,0.35,0.34,0.345,-0.009999999999999953
1767715275.093697,btc-updown-15m-1767715200,UP,0.66,0.65,0.655,-0.010000000000000009
1767715276.453119,btc-updown-15m-1767715200,UP,0.67,0.66,0.665,-0.010000000000000009
1767715276.453812,btc-updown-15m-1767715200,DOWN,0.34,0.33,0.335,-0.010000000000000009
1767715277.819948,btc-updown-15m-1767715200,DOWN,0.3,0.29,0.295,-0.010000000000000009
1767715277.821293,btc-updown-15m-1767715200,UP,0.71,0.7,0.705,-0.010000000000000009
1767715279.1748831,btc-updown-15m-1767715200,UP,0.65,0.64,0.645,-0.010000000000000009
1767715279.175549,btc-updown-15m-1767715200,DOWN,0.36,0.35,0.355,-0.010000000000000009
1767715280.504971,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715280.5051441,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715281.837373,btc-updown-15m-1767715200,DOWN,0.39,0.38,0.385,-0.010000000000000009
1767715281.837666,btc-updown-15m-1767715200,UP,0.62,0.61,0.615,-0.010000000000000009
1767715283.18852,btc-updown-15m-1767715200,UP,0.64,0.63,0.635,-0.010000000000000009
1767715283.188811,btc-updown-15m-1767715200,DOWN,0.37,0.36,0.365,-0.010000000000000009
1767715284.5342348,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715284.534592,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715285.879242,btc-updown-15m-1767715200,DOWN,0.39,0.38,0.385,-0.010000000000000009
1767715285.879359,btc-updown-15m-1767715200,UP,0.62,0.61,0.615,-0.010000000000000009
1767715287.419822,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715287.420129,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715288.781813,btc-updown-15m-1767715200,UP,0.58,0.57,0.575,-0.010000000000000009
1767715288.7822652,btc-updown-15m-1767715200,DOWN,0.44,0.42,0.43,-0.020000000000000018
1767715290.1670022,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715290.167574,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715291.611542,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715291.611974,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715292.95027,btc-updown-15m-1767715200,UP,0.54,0.53,0.535,-0.010000000000000009
1767715292.950499,btc-updown-15m-1767715200,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767715294.30675,btc-updown-15m-1767715200,UP,0.54,0.53,0.535,-0.010000000000000009
1767715294.3073049,btc-updown-15m-1767715200,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767715295.635206,btc-updown-15m-1767715200,UP,0.57,0.56,0.565,-0.009999999999999898
1767715295.644664,btc-updown-15m-1767715200,DOWN,0.44,0.43,0.435,-0.010000000000000009
1767715297.11278,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715297.113827,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715298.4692612,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715298.46961,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715299.807858,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715299.8083332,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715301.145731,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715301.146207,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715302.486484,btc-updown-15m-1767715200,UP,0.54,0.53,0.535,-0.010000000000000009
1767715302.4869068,btc-updown-15m-1767715200,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767715303.841233,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715303.841565,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715305.252643,btc-updown-15m-1767715200,DOWN,0.47,0.45,0.45999999999999996,-0.019999999999999962
1767715305.25334,btc-updown-15m-1767715200,UP,0.55,0.53,0.54,-0.020000000000000018
1767715306.8026612,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715306.8027132,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715308.139339,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715308.1403441,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715309.499944,btc-updown-15m-1767715200,DOWN,0.37,0.36,0.365,-0.010000000000000009
1767715309.5000992,btc-updown-15m-1767715200,UP,0.64,0.63,0.635,-0.010000000000000009
1767715310.8384519,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715310.838845,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715312.1851609,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715312.185502,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715313.539488,btc-updown-15m-1767715200,DOWN,0.37,0.36,0.365,-0.010000000000000009
1767715313.539629,btc-updown-15m-1767715200,UP,0.64,0.63,0.635,-0.010000000000000009
1767715314.887054,btc-updown-15m-1767715200,DOWN,0.35,0.34,0.345,-0.009999999999999953
1767715314.887365,btc-updown-15m-1767715200,UP,0.66,0.65,0.655,-0.010000000000000009
1767715316.239347,btc-updown-15m-1767715200,UP,0.68,0.67,0.675,-0.010000000000000009
1767715316.239636,btc-updown-15m-1767715200,DOWN,0.33,0.32,0.325,-0.010000000000000009
1767715317.801076,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715317.803743,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715319.312117,btc-updown-15m-1767715200,UP,0.59,0.58,0.585,-0.010000000000000009
1767715319.312542,btc-updown-15m-1767715200,DOWN,0.42,0.41,0.415,-0.010000000000000009
1767715320.6698081,btc-updown-15m-1767715200,UP,0.61,0.59,0.6,-0.020000000000000018
1767715320.670678,btc-updown-15m-1767715200,DOWN,0.41,0.39,0.4,-0.019999999999999962
1767715322.0614002,btc-updown-15m-1767715200,UP,0.62,0.61,0.615,-0.010000000000000009
1767715322.061576,btc-updown-15m-1767715200,DOWN,0.39,0.38,0.385,-0.010000000000000009
1767715323.407354,btc-updown-15m-1767715200,UP,0.66,0.65,0.655,-0.010000000000000009
1767715323.4075751,btc-updown-15m-1767715200,DOWN,0.35,0.34,0.345,-0.009999999999999953
1767715324.7684789,btc-updown-15m-1767715200,UP,0.67,0.66,0.665,-0.010000000000000009
1767715324.768715,btc-updown-15m-1767715200,DOWN,0.34,0.33,0.335,-0.010000000000000009
1767715326.1370509,btc-updown-15m-1767715200,UP,0.7,0.69,0.695,-0.010000000000000009
1767715326.137168,btc-updown-15m-1767715200,DOWN,0.31,0.3,0.305,-0.010000000000000009
1767715327.4801202,btc-updown-15m-1767715200,DOWN,0.33,0.32,0.325,-0.010000000000000009
1767715327.4808488,btc-updown-15m-1767715200,UP,0.68,0.67,0.675,-0.010000000000000009
1767715328.840788,btc-updown-15m-1767715200,UP,0.69,0.68,0.685,-0.009999999999999898
1767715328.84097,btc-updown-15m-1767715200,DOWN,0.32,0.31,0.315,-0.010000000000000009
1767715330.190922,btc-updown-15m-1767715200,UP,0.7,0.69,0.695,-0.010000000000000009
1767715330.191082,btc-updown-15m-1767715200,DOWN,0.31,0.3,0.305,-0.010000000000000009
1767715331.548188,btc-updown-15m-1767715200,UP,0.7,0.69,0.695,-0.010000000000000009
1767715331.548343,btc-updown-15m-1767715200,DOWN,0.31,0.3,0.305,-0.010000000000000009
1767715332.937632,btc-updown-15m-1767715200,DOWN,0.31,0.3,0.305,-0.010000000000000009
1767715332.9378612,btc-updown-15m-1767715200,UP,0.7,0.69,0.695,-0.010000000000000009
1767715334.2698398,btc-updown-15m-1767715200,DOWN,0.32,0.31,0.315,-0.010000000000000009
1767715334.270443,btc-updown-15m-1767715200,UP,0.69,0.68,0.685,-0.009999999999999898
1767715335.634232,btc-updown-15m-1767715200,UP,0.7,0.69,0.695,-0.010000000000000009
1767715335.634756,btc-updown-15m-1767715200,DOWN,0.31,0.3,0.305,-0.010000000000000009
1767715336.983088,btc-updown-15m-1767715200,UP,0.69,0.68,0.685,-0.009999999999999898
1767715336.983389,btc-updown-15m-1767715200,DOWN,0.32,0.31,0.315,-0.010000000000000009
1767715338.316452,btc-updown-15m-1767715200,UP,0.66,0.65,0.655,-0.010000000000000009
1767715338.316822,btc-updown-15m-1767715200,DOWN,0.35,0.34,0.345,-0.009999999999999953
1767715339.961298,btc-updown-15m-1767715200,DOWN,0.37,0.36,0.365,-0.010000000000000009
1767715339.9617548,btc-updown-15m-1767715200,UP,0.64,0.63,0.635,-0.010000000000000009
1767715341.310536,btc-updown-15m-1767715200,DOWN,0.37,0.36,0.365,-0.010000000000000009
1767715341.310864,btc-updown-15m-1767715200,UP,0.64,0.63,0.635,-0.010000000000000009
1767715342.673016,btc-updown-15m-1767715200,UP,0.65,0.64,0.645,-0.010000000000000009
1767715342.6732259,btc-updown-15m-1767715200,DOWN,0.36,0.35,0.355,-0.010000000000000009
1767715344.014624,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715344.014892,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715345.3479118,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715345.3499641,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715346.718241,btc-updown-15m-1767715200,UP,0.6,0.59,0.595,-0.010000000000000009
1767715346.718487,btc-updown-15m-1767715200,DOWN,0.41,0.4,0.405,-0.009999999999999953
1767715348.0583522,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715348.059011,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715349.395971,btc-updown-15m-1767715200,DOWN,0.38,0.37,0.375,-0.010000000000000009
1767715349.396385,btc-updown-15m-1767715200,UP,0.63,0.62,0.625,-0.010000000000000009
1767715350.873278,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715350.873479,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715352.270561,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715352.2709131,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715353.609739,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715353.630671,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
